product_name,jumia,kilimall,cheapest,timestamp,jumia_electronics,kilimall_electronics,jumia_phones,canonical_id,match_confidence,match_type,cheapest_source,cheapest_price,source_count,kilimall_phones
"Apple Original iPhone Wired Earphones with Lightning Connector, Built-in Mic & Volume Control – Compatible with iPhone 14/13/12/11 Pro Max, XS, XR, 8/7 Plus & All iOS Devices – Premium Sound & Durability (White)",1799.0,,jumia,,,,,,,,,,,
"4K DisplayPort To HDMI 4K@60Hz, 2K@165Hz For Computer Laptop",804.0,,jumia,,,,,,,,,,,
Hidden Spy Camera 1080P HD WiFi Clock Cameras Wireless Home Security Nanny Cam,9999.0,,jumia,,,,,,,,,,,
"Wired in-ear headphones with high-quality microphone, 9D sound effects, 1.5-meter cable, 3.5mm plug, black",1620.0,,jumia,,,,,,,,,,,
New LIGE Round Smart Watches Men/Women Full Touch Screen Sport Fitness Smart Watch IP67 Waterproof Bluetooth For Android ios Smartwatches Smart Wearable Fitness Electronic Clock,,1299.0,kilimall,,,,,,,,,,,
120W USB C Plug 4-Port Charger Plugs Fast Charging Travel Plug Adapter with 2 usb and 2 PD Port Wall Charging Head Universal Power Charging Compatible with Most Electronic Products,,359.0,kilimall,,,,,,,,,,,
RichRipple Men and women Sports LED Watch Silicone Colorful Watch Electronic Clock Digital Fashion Clock Smart Watch,,149.0,kilimall,,,,,,,,,,,
"KingNote 20000mAh X 2 Power Charging Bank Two pieces in combination portable SUPER Fast charde, charger cell phone, Bluetooth headset and other mobile electronic products",,1560.0,kilimall,,,,,,,,,,,
"【Clearance Sale】5-in-1 Electronics Cleaner Kit- Laptop Screen Cleaner kit,Multifunctional Bluetooth Earphones Cleaning Tool for iPhone Charging Port,Headphone,Earphone,Phone Speaker,Earpods",,199.0,kilimall,,,,,,,,,,,
"20000mAh Light Beam Power Bank with Fast Charging, Built-in Cables & LED Display portable charde, charger cell phone, Bluetooth headset and other mobile electronic products",,1000.0,kilimall,,,,,,,,,,,
Mini 25-in-1 Small Tri Circle Magnetic Precision Screwdriver Set Magnetic Mini Repair Electronics Phone PC Ratchet Drill Socket Repair Tool Bit Portable Professional Kit Set,,289.0,kilimall,,,,,,,,,,,
Tagwood 7500W 2.1CH Multimedia Bluetooth Woofer Speaker System Subwoofer Soundbar BT/USB/SD/FM Subwoofer Home Audilo System Soundbar with Remote Control S1 Speaker bass,,3899.0,kilimall,,,,,,,,,,,
"【Limited Offer】Euroken EK-26LC24T2 24"" Inch With CAST TV function Full Screen Display Television Ac/dc Digital Led Tv With Inbuilt Decoder For Local Channels Wide Color Enhancer, Usb Hdmi Ports",,4899.0,kilimall,,,,,,,,,,,
Y68 Waterproof Smart Watch Bluetooth Watch SmartWatch for Women Electronic Watch for Kids Men Fitness Tracker Men Women Sports Watches Wrist watch Smart Beacelet Kids Smartwatch Kids Watch,,703.0,kilimall,,,,,,,,,,,
Wireless Headset Over Ear earphone Noise Cancelling Bluetooth-Compatible 5.0 Sports Game Headset Built-in Mic Applicable to mobile phones computers and electronic products Local fast delivery,,540.0,kilimall,,,,,,,,,,,
"Smart LCD Writing Tablet, 8.5 Inch Graphics Tablet Electronic Writing Drawing Colorful Screen Doodle Board For kids",,338.0,kilimall,,,,,,,,,,,
Smart Watches Men's Sport Casual LED Watches Men Digital Clock Multi-Functional Rubber Man Fitness Army Military Electronic Watch,,449.0,kilimall,,,,,,,,,,,
30W Universal AC to DC Power Adapter - Multi Output Voltages 3V 4.5V 5V 6V 7.5V 9V 12V Switching Power Supply with 8 Selectable Adapter Plugs for Routers Speakers Household Electronic (MAX 2A/2000mA),,1300.0,kilimall,,,,,,,,,,,
Third Hand 5X Magnifying Glass Stand For Electronic Works Jeweler Watch Repair Welding Soldering Magnifier With Dual Clips,,1201.0,kilimall,,,,,,,,,,,
AILYONS/LYONS ECS2404/LYS2404 woofer speaker system Multimedia Speaker With Powerful Amplifier 18000 PMPO Output Power 25W+10W*2 Speaker System【HOT】,,2399.0,kilimall,,,,,,,,,,,
8.5inch LCD Writing Tablet Kids Erasable Colorful Drawing Board Graphic Electronic Writing Drawing Screen Doodle Board Children's Educational Toys,,338.0,kilimall,,,,,,,,,,,
Milky White Super Glue T5000 Repair Cell Phone Display Screen 50ML 110ML Adhesive For Glass Electronic Component Laptop Plastic Rubber,,699.0,kilimall,,,,,,,,,,,
"Vision Plus VP8850QV 50"" QLED 4K Smart TV – Netflix/YouTube/Prime Video, Inbuilt Decoder, Dolby Audio, Quantum Dot Display + Free Wall Mount (2YRS WRTY)",34070.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Amtec 43L12, 43"" FHD Smart Android Frameless TV, Netfix, Youtube, Bluetooth - Black (1YR WRTY)",16743.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Vitron HTC3288QS, 32 inch QLED Smart Android TV, QLED Smart TV, Android TV, Q LED - Black (1YR WRTY)",11320.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Itel TV 32 inches QLED Smart TV, Frameless, Bluetooth, Android14, Wifi, Digital, Netflix, YouTube, Prime, 32"" television (1 year warranty, New Launch price,wall mount free gift)",10798.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Hisense 43A4, 43"" INCH FRAMELESS SMART TELEVISION, FULL HD RESOLUTION, A4K SERIES ,NETFLIX ,YOUTUBE TV,DTS, INBUILT DECODER, BUILT-IN WIFI,VIDAA OS+FREE TV GUARD+BRACKET",24695.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Hisense 43'' Inch Smart FHD Frameless,SMART & DIGITAL LED TELEVISION+BRACKET+GUARD",24890.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Vision Plus VP2111SB Immersive Sound 2.1 CH Sound Bar 240W - Black (2 YRs WRTY),8499.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Amtec AM-308 3.1CH X-BASS Multimedia Home Theater System – 12000W PMPO - Black (1YR WRTY),3929.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Lyons LYS2404 2.1CH Multimedia Speaker System Home Theatrer SubWoofer with BT(1YR WRTY),2599.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Euroken HS-22LS19T2 19"" Inch Digital LED TV - HD Clear Color, Inbuilt Decoder, HDMI & USB",3999.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Gld 32"" Smart Frameless HD LED Television - Black",13795.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Skyworth 65Q6500H, 65"" 4K QLED Smart Google TV, Black (1YR WRTY)",74999.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"K-Elec 55"" 4K Google Smart LED TV | Dolby Atmos Soundbar | Netflix & YouTube | 36-Month Warranty | FREE TV Guard + FREE Wall Mount",41999.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Lenovo Thinkplus K30 Portable Bluetooth Wireless Speaker Waterproof USB Outdoor Loudspeaker Music Surround Bass Box Speakers,797.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Bluetooth Speaker 4D Subwoofer Wired Speaker For Laptop,TV",1059.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
GUIXIA XG88Pro Smart Bluetooth 5.3 Sunglasses Earphones,900.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Indoor Amplified HD Digital TV Antenna, VHF Or UHF Amplifier",896.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"LASA LASA 3.5mm Microphone for Smartphones, PC, DSLR Cameras & Camcorders – Plug & Play, Clear Audio, Universal Compatibility",1219.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"addigoes Extension Socket With USB, Power Extension Box with Surge Protection, 4 AC Sockets & 4 USB Ports (3 USB + 1 Type-C), USB Extension Socket with Overload Protection, LED Indicator, 2M Extension Cord for Home Office",799.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Women Watch Men Smart Watches Sports Fintess Watches,1190.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Mini Karaoke Machine With Wireless Microphones,3200.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Rashnik TV Wall Mount TV Stand For 14” - 42” - Black,161.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
LUMINOUS ISTANBUL 2 TV CONSOLE 4FT WITH CABINET,4539.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Gotv Decoder (1YR WRTY) - Black,719.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Skilltech 15"" To 43"" inches Tilting Wall Mount Bracket",445.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
MK Tv GUARD And 4 Way Extension Cable,850.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Dstv Full kit (1YR WRTY),2250.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Mexico Modern Wooden TV Stand For Up To 55"" TV",3490.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Power King Best 4 Way Power Extension With Long Cable - White,299.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"ROTATING 14""-55"" TILT ROTATING WALL MOUNT BRACKET",660.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Extension Cables 6 Way With 3 USB Ports Multiplug Power Extension Socket Power Cables.,649.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"14-43 inches, 17'', 19'', 24'', 32'', 43'' Fixed TV Wall Mount Bracket",249.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"TCL 55"" Inch,FRAMELESS,BLUETOOTH,Smart UHD 4K With HDR Google TV+360 BRACKET+TV GUARD",43999.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Hisense 55"" Inch 4K UHD SMART BLUETOOTH TV-2024 MODEL+FREE 360 WALL BRACKET",43999.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Nobel 5.1 CH Top Bass-Home Theatre System/USB/Radio -22000W,12790.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Istanbul 2 Modern TV Stand With LED Light - White & Black,4539.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Nobel 5.1CH Home Theatre Speaker System 80W R.M.S Sub Woofer P.M.P.O 22000W Bluetooth Radio F.M/Aux Ready Super Bass Surround Sound Remote Control & LED Light,13290.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Official Store
Amtec AM-02 2.1CH Multimedia Speaker BT/USB/SD/FM - Black (1YR WRTY)",5100.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Official Store
Amaze Fridge/Freezer Guard/13A - UnderVoltage & Surge Protection",485.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Official Store
Vitron V51SB- 2.1ch Soundbar System with Bluetooth, Black (1YR WRTY)",4840.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Home Design Rotating 14"" - 55"" Full Motion Swivel TV Bracket",649.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Power King Iron Box And Electric Kettle Support 5 Way Power Extension-White// Blue,540.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Official Store
Amaze TV Guard Voltage Power Protector 13A - Surge Protector",499.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Official Store
Power King Extension Cable With 6 AC Power Outlets, 13A, And 2 M Long Cable",399.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Digital LCD hair clipper - Long battery life-gold,3700.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
IP Camera Home Security System 5MP V380 Pro Motion Detection Night Vision WiFi Indoor Camera,3200.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"SILVER CREST 2 IN 1, 2LITRES HEAVY DUTY 4500WATTS",2599.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Panoramic Wireless WiFi 360 Degree Rotating Camera White,930.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Rotation Foldable Aerial Camera RC Gift HD Camera,9800.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Bolizma Bluetooth Earbuds, Wireless in Ear Buds with Hi-Res Audio, Secure Fit, BT 5.4, One-Step Pairing, for iPhone Android & More",608.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
Astronaut Star Projector Night Light,1755.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"XIAOMI Redmi Buds 6 Play Wireless Earbuds White, Bluetooth 5.4, Long Battery Life, Noise Reduction Calls, Comfortable Fit",1900.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Apple Original iPhone Wired Earphones with Lightning Connector, Built-in Mic & Volume Control – Compatible with iPhone 14/13/12/11 Pro Max, XS, XR, 8/7 Plus & All iOS Devices – Premium Sound & Durability (White)",1799.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"4K DisplayPort To HDMI 4K@60Hz, 2K@165Hz For Computer Laptop",804.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Wired in-ear headphones with high-quality microphone, 9D sound effects, 1.5-meter cable, 3.5mm plug, black",1620.0,,jumia,2026-05-04 22:06:47.602632,,,,,,,,,,
"Vision Plus VP8850QV 50"" QLED 4K Smart TV – Netflix/YouTube/Prime Video, Inbuilt Decoder, Dolby Audio, Quantum Dot Display + Free Wall Mount (2YRS WRTY)",34070.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"Amtec 43L12, 43"" FHD Smart Android Frameless TV, Netfix, Youtube, Bluetooth - Black (1YR WRTY)",16743.0,17999.0,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"Vitron HTC3288QS, 32 inch QLED Smart Android TV, QLED Smart TV, Android TV, Q LED - Black (1YR WRTY)",11320.0,12830.0,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"Itel TV 32 inches QLED Smart TV, Frameless, Bluetooth, Android14, Wifi, Digital, Netflix, YouTube, Prime, 32"" television (1 year warranty, New Launch price,wall mount free gift)",10798.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"Hisense 43A4, 43"" INCH FRAMELESS SMART TELEVISION, FULL HD RESOLUTION, A4K SERIES ,NETFLIX ,YOUTUBE TV,DTS, INBUILT DECODER, BUILT-IN WIFI,VIDAA OS+FREE TV GUARD+BRACKET",24695.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"Hisense 43'' Inch Smart FHD Frameless,SMART & DIGITAL LED TELEVISION+BRACKET+GUARD",24890.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
Vision Plus VP2111SB Immersive Sound 2.1 CH Sound Bar 240W - Black (2 YRs WRTY),8499.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
Amtec AM-308 3.1CH X-BASS Multimedia Home Theater System – 12000W PMPO - Black (1YR WRTY),3929.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
Lyons LYS2404 2.1CH Multimedia Speaker System Home Theatrer SubWoofer with BT(1YR WRTY),2599.0,2399.0,kilimall,2026-05-04 22:07:25.789854,,,,,,,,,,
"Euroken HS-22LS19T2 19"" Inch Digital LED TV - HD Clear Color, Inbuilt Decoder, HDMI & USB",3999.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"Gld 32"" Smart Frameless HD LED Television - Black",13795.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"Skyworth 65Q6500H, 65"" 4K QLED Smart Google TV, Black (1YR WRTY)",74999.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"K-Elec 55"" 4K Google Smart LED TV | Dolby Atmos Soundbar | Netflix & YouTube | 36-Month Warranty | FREE TV Guard + FREE Wall Mount",41999.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
Lenovo Thinkplus K30 Portable Bluetooth Wireless Speaker Waterproof USB Outdoor Loudspeaker Music Surround Bass Box Speakers,797.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"Bluetooth Speaker 4D Subwoofer Wired Speaker For Laptop,TV",1059.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
GUIXIA XG88Pro Smart Bluetooth 5.3 Sunglasses Earphones,900.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"Indoor Amplified HD Digital TV Antenna, VHF Or UHF Amplifier",896.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"LASA LASA 3.5mm Microphone for Smartphones, PC, DSLR Cameras & Camcorders – Plug & Play, Clear Audio, Universal Compatibility",1219.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"addigoes Extension Socket With USB, Power Extension Box with Surge Protection, 4 AC Sockets & 4 USB Ports (3 USB + 1 Type-C), USB Extension Socket with Overload Protection, LED Indicator, 2M Extension Cord for Home Office",799.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
Women Watch Men Smart Watches Sports Fintess Watches,1190.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
Mini Karaoke Machine With Wireless Microphones,3200.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
Rashnik TV Wall Mount TV Stand For 14” - 42” - Black,161.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
LUMINOUS ISTANBUL 2 TV CONSOLE 4FT WITH CABINET,4539.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
Gotv Decoder (1YR WRTY) - Black,719.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"Skilltech 15"" To 43"" inches Tilting Wall Mount Bracket",445.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
MK Tv GUARD And 4 Way Extension Cable,850.0,1120.0,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
Dstv Full kit (1YR WRTY),2250.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"Mexico Modern Wooden TV Stand For Up To 55"" TV",3490.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
Power King Best 4 Way Power Extension With Long Cable - White,299.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"ROTATING 14""-55"" TILT ROTATING WALL MOUNT BRACKET",660.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
Extension Cables 6 Way With 3 USB Ports Multiplug Power Extension Socket Power Cables.,649.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"14-43 inches, 17'', 19'', 24'', 32'', 43'' Fixed TV Wall Mount Bracket",249.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"TCL 55"" Inch,FRAMELESS,BLUETOOTH,Smart UHD 4K With HDR Google TV+360 BRACKET+TV GUARD",43999.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"Hisense 55"" Inch 4K UHD SMART BLUETOOTH TV-2024 MODEL+FREE 360 WALL BRACKET",43999.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
Nobel 5.1 CH Top Bass-Home Theatre System/USB/Radio -22000W,12790.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
Istanbul 2 Modern TV Stand With LED Light - White & Black,4539.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
Nobel 5.1CH Home Theatre Speaker System 80W R.M.S Sub Woofer P.M.P.O 22000W Bluetooth Radio F.M/Aux Ready Super Bass Surround Sound Remote Control & LED Light,13290.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"Official Store
Amtec AM-02 2.1CH Multimedia Speaker BT/USB/SD/FM - Black (1YR WRTY)",5100.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"Official Store
Amaze Fridge/Freezer Guard/13A - UnderVoltage & Surge Protection",485.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
"Official Store
Vitron V51SB- 2.1ch Soundbar System with Bluetooth, Black (1YR WRTY)",4840.0,,jumia,2026-05-04 22:07:25.789854,,,,,,,,,,
